scenario,iou_step6,fnr_step6,rmse_step6
sim_1000kw_1m2_T01,0.7919942816291694,0.07743547044123444,0.15434442460536957
sim_1000kw_1m2_T03,0.7616161616156487,0.0455696202531261,0.1430162936449051
sim_1000kw_2m2_T01,0.7234899328855824,0.24825662482554706,0.16838672757148743
sim_1000kw_2m2_T05,0.7808049535601298,0.2153080273801446,0.16141216456890106
sim_1500kw_1m2_T02,0.8225228810183755,0.045706371191114634,0.15561561286449432
sim_1500kw_1m2_T03,0.7948448185161521,0.09629186602865054,0.14350341260433197
sim_1500kw_2m2_T05,0.821459475050239,0.1752099623515276,0.16909560561180115
sim_500kw_1m2_T01,0.5596221959851716,0.024691358024640554,0.12394518405199051
sim_500kw_1m2_T02,0.6097560975604445,0.0932642487045424,0.13643920421600342
sim_500kw_1m2_T03,0.6221889055462936,0.28448275862019917,0.12346698343753815
sim_500kw_1m2_T04,0.6696078431365984,0.1265984654729839,0.11903127282857895
sim_500kw_2m2_T02,0.7605101558806044,0.06774753908507948,0.15453068912029266
sim_500kw_2m2_T05,0.7506762849410502,0.23165666820478464,0.16083626449108124
