scenario,iou_step6,fnr_step6,rmse_step6
sim_1000kw_1m2_T01,0.7891816920937662,0.052456286427933006,0.15584447979927063
sim_1000kw_1m2_T03,0.6684619988027118,0.057383966244677315,0.15193842351436615
sim_1000kw_2m2_T01,0.7418358340685164,0.2185030218502006,0.16671587526798248
sim_1000kw_2m2_T05,0.8326153846151284,0.15805849408831424,0.15271955728530884
sim_1500kw_1m2_T02,0.8191324554605658,0.023545706371180267,0.15812291204929352
sim_1500kw_1m2_T03,0.7650542941753381,0.07296650717698985,0.1475559026002884
sim_1500kw_2m2_T05,0.870215827337879,0.12423979148562866,0.1617562472820282
sim_500kw_1m2_T01,0.5181518151809481,0.03086419753080069,0.12891903519630432
sim_500kw_1m2_T02,0.5738993710687312,0.054404145077649735,0.14233902096748352
sim_500kw_1m2_T03,0.5723431498072057,0.22931034482719084,0.12070800364017487
sim_500kw_1m2_T04,0.6475336322864148,0.07672634271089933,0.1201840341091156
sim_500kw_2m2_T02,0.75373472159314,0.035900405327136134,0.15584181249141693
sim_500kw_2m2_T05,0.7875329236168623,0.1721273650206866,0.15693067014217377
