w_t1,w_conv,w_fno,mean_iou,mean_fnr,h5_pass
0.0,0.0,1.0,0.524839535709822,0.10438896564750998,4
0.0,0.25,0.75,0.5446553951352964,0.1047131720240661,5
0.0,0.5,0.5,0.5668388125542264,0.12614601129479242,5
0.0,0.75,0.25,0.5947092985877018,0.15290530943932462,5
0.0,1.0,0.0,0.5811705188622278,0.2296461085634912,3
0.2,0.0,0.8,0.5377927146863962,0.08632136181692138,5
0.2,0.2,0.6,0.5610799567819218,0.082248957504165,5
0.2,0.4,0.4,0.5838032768603477,0.10351250665007522,5
0.2,0.6,0.2,0.6148640377373227,0.12632007593689293,5
0.2,0.8,0.0,0.6128275887573658,0.18583343433734656,5
0.3,0.0,0.7,0.5464752157798297,0.07475671456000568,5
0.3,0.175,0.525,0.5709000247157922,0.0701984219737696,5
0.3,0.35,0.35,0.596853483158345,0.088582197901546,5
0.3,0.525,0.175,0.6224960686644955,0.11585143448614657,5
0.3,0.7,0.0,0.6166431390815448,0.1664006978339125,5
0.4,0.0,0.6,0.5547369527721291,0.06360001942106995,5
0.4,0.15,0.45,0.5822191188823166,0.05854205000190945,5
0.4,0.3,0.3,0.6146447609044108,0.07052058772465054,5
0.4,0.45,0.15,0.6248233000479425,0.10755570490535302,4
0.4,0.6,0.0,0.6193811199982615,0.15000952867020786,4
0.5,0.0,0.5,0.5660621857876017,0.0522373599107473,5
0.5,0.125,0.375,0.5967463704474242,0.048370072708738235,5
0.5,0.25,0.25,0.6208377708037364,0.06411584357382079,5
0.5,0.375,0.125,0.6209170134853786,0.10382605720608369,4
0.5,0.5,0.0,0.6192192638210785,0.13812171657394684,4
0.6,0.0,0.4,0.5760338487649705,0.048344929944520075,4
0.6,0.1,0.3,0.596686599138356,0.0470957382025184,4
0.6,0.2,0.2,0.6060501419121894,0.06655429394679709,4
0.6,0.3,0.1,0.6108706206755852,0.09550025089899411,4
0.6,0.4,0.0,0.6087365630229052,0.12824946523340197,3
