scenario,iou_step6,fnr_step6,rmse_step6
sim_1000kw_1m2_T01,0.5680819912149497,0.030807660283071768,0.20350168645381927
sim_1000kw_1m2_T03,0.5497076023389134,0.04810126582274422,0.31601813435554504
sim_1000kw_2m2_T01,0.7463343108501663,0.05346350534632568,0.23218673467636108
sim_1000kw_2m2_T05,0.8945300695071338,0.07902924704415712,0.28859958052635193
sim_1500kw_1m2_T02,0.7097855227879659,0.022160664819934367,0.31464889645576477
sim_1500kw_1m2_T03,0.6568219633940695,0.055622009569344724,0.3178127110004425
sim_1500kw_2m2_T05,0.8938547486031023,0.07326962061972972,0.29963481426239014
sim_500kw_1m2_T01,0.3650793650790891,0.006172839506160138,0.17402008175849915
sim_500kw_1m2_T02,0.4198863636361251,0.04274611398958193,0.2876984179019928
sim_500kw_1m2_T03,0.39558707643782853,0.1344827586204578,0.28423169255256653
sim_500kw_1m2_T04,0.4300578034679595,0.04859335038356957,0.20124255120754242
sim_500kw_2m2_T02,0.6312453392987952,0.019687319050364974,0.30331555008888245
sim_500kw_2m2_T05,0.7771106941835734,0.04430087678816599,0.22341307997703552
