w_t1,w_conv,w_fno,mean_iou,mean_fnr,h5_pass
0.0,0.0,1.0,0.524839535709822,0.10438896564750998,4
0.0,0.25,0.75,0.5446553951352964,0.1047131720240661,5
0.0,0.5,0.5,0.5668388125542264,0.12614601129479242,5
0.0,0.75,0.25,0.5947092985877018,0.15290530943932462,5
0.0,1.0,0.0,0.5811705188622278,0.2296461085634912,3
0.2,0.0,0.8,0.5366318660745949,0.08692602151423151,4
0.2,0.2,0.6,0.5591563921337511,0.08334288860424073,5
0.2,0.4,0.4,0.5814123395617012,0.10561607903130107,5
0.2,0.6,0.2,0.6154596836077929,0.12364586759024118,5
0.2,0.8,0.0,0.6149263886303732,0.18193108841320302,5
0.3,0.0,0.7,0.5448918246353505,0.07552680776452315,5
0.3,0.175,0.525,0.5673213300405355,0.07264841550568407,5
0.3,0.35,0.35,0.5945726252467233,0.09102884412745355,5
0.3,0.525,0.175,0.6194033662978634,0.11765853351396406,5
0.3,0.7,0.0,0.6180116927879367,0.1649078086959537,5
0.4,0.0,0.6,0.5494326791202117,0.07086645296626073,4
0.4,0.15,0.45,0.5742677893185663,0.0670062784094721,5
0.4,0.3,0.3,0.6071490078952873,0.07436657163127935,5
0.4,0.45,0.15,0.6154931546967521,0.11222590678954694,4
0.4,0.6,0.0,0.6182381497519072,0.15065371400943087,4
0.5,0.0,0.5,0.5582618609846888,0.05908338307544924,4
0.5,0.125,0.375,0.5854431676131363,0.052868027924614265,4
0.5,0.25,0.25,0.610804138656784,0.061450348919481916,4
0.5,0.375,0.125,0.6135241658181301,0.10201633883504377,4
0.5,0.5,0.0,0.6159950625171915,0.13417890998550425,3
0.6,0.0,0.4,0.5626909050254126,0.050303785640135046,4
0.6,0.1,0.3,0.5833535915565936,0.04690339844323128,4
0.6,0.2,0.2,0.5988782845588778,0.0569067881449585,4
0.6,0.3,0.1,0.6076487498468588,0.0815614421501884,3
0.6,0.4,0.0,0.6053239014753764,0.11925637984396478,3
