scenario_id,fire_scenario_id,seed,n_persons,evacuation_success_rate,mean_evacuation_time_s,danger_zone_exposure_time_s,casualty_rate,cumulative_fed,max_cumulative_fed,p90_cumulative_fed
S1_fixed_sign,sim_1500kw_2m2_T05,0,20,1.0,12.1,7.65,0.0,0.00043146191139832146,0.0019817876793863354,0.0007084375521053117
S2_fds_swarm,sim_1500kw_2m2_T05,0,20,1.0,14.95,8.7,0.0,0.0005066920913811767,0.0021966843369305394,0.0007249725904168984
S3_fno_swarm,sim_1500kw_2m2_T05,0,20,1.0,14.9,8.65,0.0,0.0005059976167681791,0.0021966843369305394,0.0007249725904168984
S1_fixed_sign,sim_1500kw_2m2_T05,1,20,1.0,12.35,10.0,0.0,0.0005523689784724831,0.0016736884377589166,0.0013012777259801165
S2_fds_swarm,sim_1500kw_2m2_T05,1,20,1.0,18.15,12.05,0.0,0.0007522626866309304,0.0019623442938020027,0.0016988507889880095
S3_fno_swarm,sim_1500kw_2m2_T05,1,20,1.0,17.45,11.8,0.0,0.0007403881484650635,0.0019623442938020027,0.0016988507889880095
S1_fixed_sign,sim_1500kw_2m2_T05,2,20,1.0,12.65,10.55,0.0,0.0006524411694004762,0.002031934732820037,0.00171292450564206
S2_fds_swarm,sim_1500kw_2m2_T05,2,20,1.0,14.15,11.55,0.0,0.0007354769688569742,0.002260101297905732,0.0018755827069005496
S3_fno_swarm,sim_1500kw_2m2_T05,2,20,1.0,14.15,11.55,0.0,0.0007354769688569742,0.002260101297905732,0.0018755827069005496
S1_fixed_sign,sim_1500kw_2m2_T05,3,20,1.0,10.7,9.95,0.0,0.0006096348656843525,0.002352602840930013,0.0014745849369767338
S2_fds_swarm,sim_1500kw_2m2_T05,3,20,1.0,14.15,12.65,0.0,0.0008217372642468088,0.002528982761263238,0.002466294262189573
S3_fno_swarm,sim_1500kw_2m2_T05,3,20,1.0,15.9,14.85,0.0,0.0009423501666709716,0.002528982761263238,0.002466294262189573
S1_fixed_sign,sim_1500kw_2m2_T05,4,20,1.0,12.4,8.6,0.0,0.0005016666341351586,0.0016384803956271102,0.0012239756492396334
S2_fds_swarm,sim_1500kw_2m2_T05,4,20,1.0,15.15,11.15,0.0,0.0006839018579346447,0.0018550714687049735,0.001452491117110921
S3_fno_swarm,sim_1500kw_2m2_T05,4,20,1.0,14.85,10.95,0.0,0.000676068635789192,0.0018583572765625605,0.001452491117110921
S1_fixed_sign,sim_500kw_1m2_T01,0,20,1.0,12.1,0.0,0.0,3.695093371374513e-05,0.0001339990440221641,6.242400311101363e-05
S2_fds_swarm,sim_500kw_1m2_T01,0,20,1.0,15.25,0.0,0.0,4.6353897887604974e-05,0.00014199706119712082,7.908742160754674e-05
S3_fno_swarm,sim_500kw_1m2_T01,0,20,1.0,14.9,0.0,0.0,4.511076152544688e-05,0.00014153281773260267,7.908742160754674e-05
S1_fixed_sign,sim_500kw_1m2_T01,1,20,1.0,12.35,0.0,0.0,4.661814427811775e-05,0.00011605140363757506,8.626000492858138e-05
S2_fds_swarm,sim_500kw_1m2_T01,1,20,1.0,19.5,0.0,0.0,6.228310191879e-05,0.00010777605173214475,9.218833762440689e-05
S3_fno_swarm,sim_500kw_1m2_T01,1,20,1.0,17.65,0.0,0.0,5.799330180586655e-05,0.00010944701977410225,8.927662568013218e-05
S1_fixed_sign,sim_500kw_1m2_T01,2,20,1.0,12.65,0.0,0.0,4.8036563370458234e-05,0.00012698197095636237,0.00011070476817754913
