name,loc,hrr_kw,area_m2,t0,iou_step1,iou_step6,iou_all,rmse_step6,fnr_step6
sim_1000kw_1m2_T01,T01,1000,1,120.0,0.48249027237327263,0.4941225860619252,0.49728794906056933,0.1338483835769832,0.019983347210641145
sim_1000kw_1m2_T03,T03,1000,1,120.0,0.5292494481233282,0.43637846655773394,0.466488549618285,0.17277643599499193,0.0970464135020278
sim_1000kw_2m2_T01,T01,1000,2,120.0,0.7631111111107719,0.7541046200837136,0.7493504717625633,0.10299877458931385,0.08182240818220278
sim_1000kw_2m2_T05,T05,1000,2,120.0,0.7641252552754376,0.7541692402715398,0.7485013915649353,0.13474336102652237,0.24019912881137517
sim_1500kw_1m2_T02,T02,1500,1,120.0,0.6887063655027973,0.689479432107503,0.6965908358574018,0.11852339083241352,0.12557710064629474
sim_1500kw_1m2_T03,T03,1500,1,120.0,0.6284722222219105,0.5661108956957867,0.5795035460992497,0.14072093096806185,0.1267942583731299
sim_1500kw_2m2_T05,T05,1500,2,120.0,0.7185469580623985,0.7150289017338974,0.7008742107818989,0.1705187361967493,0.2835215754415628
sim_500kw_1m2_T01,T01,500,1,120.0,0.3110504774895559,0.21119929453253475,0.2500650985157321,0.19438656209409869,0.014403292181040323
sim_500kw_1m2_T02,T02,500,1,120.0,0.42996515679412545,0.3106918238992408,0.3440645536976671,0.19377575519955897,0.040155440414455755
sim_500kw_1m2_T03,T03,500,1,120.0,0.3253909158597726,0.22494529540471556,0.25225304051095876,0.24170962799090864,0.11379310344807966
sim_500kw_1m2_T04,T04,500,1,120.0,0.36324523663161445,0.3221704111910461,0.32929309363049464,0.19287406061474605,0.028132992327329753
sim_500kw_2m2_T02,T02,500,2,120.0,0.593308199811219,0.599541459686435,0.598222962654408,0.12544761813556207,0.09148812970463724
sim_500kw_2m2_T05,T05,500,2,120.0,0.7446236559136449,0.7449715370016148,0.749709996588144,0.10962792056330409,0.09413936317485273
