name,loc,hrr_kw,area_m2,t0,iou_step1,iou_step6,iou_all,rmse_step6,fnr_step6
sim_1000kw_1m2_T01,T01,1000,1,120.0,0.6119850187261333,0.6286567164175352,0.6374904025446267,0.09361999690859228,0.12323064113228707
sim_1000kw_1m2_T03,T03,1000,1,120.0,0.5669472073446312,0.5045099218277183,0.5321039768939644,0.13276941441538412,0.2919831223626228
sim_1000kw_2m2_T01,T01,1000,2,120.0,0.7556285178232853,0.742602351033343,0.7438046383931259,0.10173735016430198,0.14830311483024253
sim_1000kw_2m2_T05,T05,1000,2,120.0,0.7512776831343266,0.7150752225972627,0.7293076800084886,0.13725333789470082,0.2753578095829884
sim_1500kw_1m2_T02,T02,1500,1,120.0,0.7324521422056826,0.6874003189789922,0.7084066127329787,0.11355357407741012,0.20406278855022897
sim_1500kw_1m2_T03,T03,1500,1,120.0,0.6492178098672388,0.594685990337877,0.6165274725274184,0.13059922872437618,0.26375598086108626
sim_1500kw_2m2_T05,T05,1500,2,120.0,0.7449882075469502,0.7510791366904314,0.7475432056929492,0.16083050562139642,0.24413553431791366
sim_500kw_1m2_T01,T01,500,1,120.0,0.48623853210953416,0.3846153846150484,0.4335080248934763,0.108687626418882,0.09465020576112212
sim_500kw_1m2_T02,T02,500,1,120.0,0.5339912280695899,0.43779904306185186,0.483717357910832,0.11627183275624954,0.28886010362656883
sim_500kw_1m2_T03,T03,500,1,120.0,0.4094881398247073,0.3455031166515178,0.3732662968099214,0.1509516373616514,0.3310344827580499
sim_500kw_1m2_T04,T04,500,1,120.0,0.5131440588848443,0.48097412480937524,0.496684838662075,0.10467114282383401,0.19181585677724833
sim_500kw_2m2_T02,T02,500,2,120.0,0.6692399049877261,0.6062470421199213,0.6428384849803532,0.1082012443386294,0.25825130283714054
sim_500kw_2m2_T05,T05,500,2,120.0,0.7293646823408058,0.6760683760680871,0.6997017664601438,0.10452168922751982,0.2699584679278865
