name,loc,hrr_kw,area_m2,t0,geodesic__ConvLSTM_fnr_step6,geodesic__ConvLSTM_iou_all,geodesic__ConvLSTM_iou_step6,geodesic__ConvLSTM_rmse_step6,geodesic__FNO PI_fnr_step6,geodesic__FNO PI_iou_all,geodesic__FNO PI_iou_step6,geodesic__FNO PI_rmse_step6,geodesic__FNO no-PI_fnr_step6,geodesic__FNO no-PI_iou_all,geodesic__FNO no-PI_iou_step6,geodesic__FNO no-PI_rmse_step6,interp_geodesic_rmse_CO,interp_geodesic_rmse_T,interp_geodesic_rmse_V,interp_linear_rmse_CO,interp_linear_rmse_T,interp_linear_rmse_V,linear__ConvLSTM_fnr_step6,linear__ConvLSTM_iou_all,linear__ConvLSTM_iou_step6,linear__ConvLSTM_rmse_step6,linear__FNO PI_fnr_step6,linear__FNO PI_iou_all,linear__FNO PI_iou_step6,linear__FNO PI_rmse_step6,linear__FNO no-PI_fnr_step6,linear__FNO no-PI_iou_all,linear__FNO no-PI_iou_step6,linear__FNO no-PI_rmse_step6
sim_1000kw_1m2_T01,T01,1000,1,120.0,0.37885095753507175,0.29797028667082043,0.3340797133899086,0.18659180686160973,0.8134887593665167,0.16296398509725912,0.1721752498077078,0.20648143294667193,0.8526228143206889,0.1218563290259661,0.13130563798209843,0.19845916367553265,22.39775276184082,19.901918411254883,9.918264389038086,32.15175247192383,26.811433792114258,14.41515827178955,0.7194004995830813,0.06932671766245818,0.09150149334778944,0.33061274262788926,0.7343880099910621,0.1387055690633161,0.18207762557067234,0.2675287844791323,0.7502081598661531,0.1357837564733945,0.1945525291827532,0.22892044924163957
sim_1000kw_1m2_T03,T03,1000,1,120.0,0.09789029535856718,0.42456599113819826,0.39200586725324826,0.23229128686019862,0.3130801687761071,0.49380313428244454,0.4776995305161516,0.1726398635244424,0.3257383966241977,0.5144508670519659,0.4950433705077478,0.15573804587451706,21.64834213256836,18.75969696044922,9.999910354614258,34.82179641723633,34.7359504699707,13.694083213806152,0.3459915611811426,0.2622860677709628,0.2218723160606293,0.3264901023406978,0.5316455696198045,0.320075129819874,0.32570422535192156,0.21535845342031645,0.4911392405059147,0.34432656826564295,0.38068181818157787,0.18466110611481248
sim_1000kw_2m2_T01,T01,1000,2,120.0,0.19944211994411928,0.44301164725455267,0.44176500769614113,0.25874560556012743,0.4621106462108498,0.4175772921108464,0.4238095238093686,0.20424655666810929,0.521152952115053,0.39302389453444153,0.39691714836208214,0.19605539449590442,32.52574157714844,31.8548641204834,10.617607116699219,42.28429412841797,37.088897705078125,15.485410690307617,0.4411901441188093,0.1921865626874553,0.22821340421487976,0.36958197108166385,0.6266852626682349,0.2369118203607773,0.2688316036155779,0.295509680367781,0.6039051603902353,0.2518093499380419,0.3147395640929757,0.2608715126444709
sim_1000kw_2m2_T05,T05,1000,2,120.0,0.08245177349095133,0.6733953825697783,0.6249205340113106,0.2823414994268554,0.3388301182326264,0.6240945674043952,0.628698224851885,0.1836935106231099,0.4486621032979313,0.5773620303298463,0.5369696969695342,0.18418257467892007,23.581928253173828,27.802841186523438,10.056537628173828,39.08494186401367,35.23439025878906,15.237767219543457,0.24237710018660785,0.35702279496327577,0.4127118644067097,0.3816692536664292,0.6101431238330398,0.26973283439212126,0.30680705190981716,0.3322375201425214,0.6316116988174761,0.2811172668513259,0.32349726775947446,0.29267375525234635
sim_1500kw_1m2_T02,T02,1500,1,120.0,0.15558633425662255,0.4195611577964323,0.42026654411755043,0.27915761828693464,0.6163434903044246,0.323134328358187,0.3180252583236441,0.23067299109287995,0.6181902123727524,0.32134799774391415,0.3289578361176098,0.21854991968410714,28.639041900634766,41.8277473449707,10.426823616027832,29.92135238647461,40.13134002685547,14.93852710723877,0.379963065558458,0.22876839947828476,0.25004654626694284,0.3572429574834653,0.6265004616802279,0.2802493438320026,0.2888254194929351,0.2933382346660982,0.6126500461677689,0.28057652711048175,0.3256987577638487,0.25642142853276567
sim_1500kw_1m2_T03,T03,1500,1,120.0,0.056818181818147837,0.5068216870328327,0.4819682151587769,0.24080235067545464,0.3468899521529026,0.532753903106347,0.4959128065392843,0.1874927680621173,0.3875598086122084,0.5344663963419434,0.49540396710184065,0.163471814197882,24.605192184448242,26.00364112854004,10.279959678649902,35.916690826416016,38.260215759277344,14.569881439208984,0.32655502392324964,0.24589485875004152,0.22134853548255917,0.37388564740028074,0.4874401913872683,0.3502311493702893,0.3593291404610653,0.25549655165100965,0.4832535885164574,0.36174371176067627,0.3996299722477338,0.2132849388875365
sim_1500kw_2m2_T05,T05,1500,2,120.0,0.1225021720242912,0.7794240400667454,0.6986396126353012,0.2669839129597466,0.24210831161301996,0.6976660195927634,0.7160054719560285,0.18232881610644572,0.34346944685770536,0.6652892561983155,0.6451337507112563,0.1798888673085903,33.586952209472656,37.73313522338867,9.725604057312012,56.26930236816406,47.3640022277832,14.89634895324707,0.2273385461916515,0.43823982007574463,0.4978540772531259,0.3575599097082568,0.5149145670430018,0.3223616236162243,0.36444734551776226,0.3408196794547845,0.5951346655080814,0.3142809944659984,0.34923807144632796,0.30437948747110805
sim_500kw_1m2_T01,T01,500,1,120.0,0.5720164609041728,0.24374820350668475,0.30814814814769165,0.11407684849143687,0.9979423868292223,0.027731373204133734,0.00205338809034486,0.17978315297840977,0.9999999999979424,0.023434884499489977,0.0,0.18132801865217688,16.424880981445312,14.232879638671875,8.200185775756836,24.960002899169922,24.03730583190918,12.439714431762695,0.7880658436197776,0.0958447073096464,0.1606864274568476,0.21344131523684332,0.9753086419733018,0.03493737640077952,0.02285714285709932,0.19297762670125684,0.9588477366235415,0.03632122625790193,0.03891050583650017,0.18013351538523129
sim_500kw_1m2_T02,T02,500,1,120.0,0.9727979274598798,0.008049678012877632,0.026548672566338118,0.17463465618477522,0.9948186528484523,0.003483511379469697,0.005181347150252356,0.2121445087068429,0.9999999999987047,0.0,0.0,0.20611670913005548,11.198251724243164,17.312965393066406,9.81267261505127,11.054673194885254,16.12032127380371,12.384705543518066,0.9494818652837442,0.01617749017794865,0.049744897959120224,0.1867546398635612,0.9546632124339965,0.020211093644729346,0.04337050805446918,0.20329546792173092,0.9520725388588703,0.01756007393714936,0.046954314720752593,0.19897846843427902
sim_500kw_1m2_T03,T03,500,1,120.0,0.26034482758575805,0.3644259818730429,0.34541062801904554,0.1595001862784024,0.6275862068954697,0.3327157226044646,0.3037974683540031,0.13620514388020363,0.48448275861985435,0.379916098584064,0.3868046571793185,0.12563732069767353,12.446325302124023,13.269532203674316,7.978940963745117,20.049991607666016,23.005279541015625,10.873250961303711,0.4982758620681064,0.3110079575596129,0.3310580204774391,0.1894471565087134,0.6224137931023752,0.2551377350239932,0.2717121588085959,0.16367795092145523,0.601724137929997,0.25545238609366105,0.2743467933488428,0.1612369950962256
sim_500kw_1m2_T04,T04,500,1,120.0,0.34910485933459195,0.35220228384986096,0.38795731707287506,0.14483448484520905,0.8069053708429579,0.23733905579394046,0.17869822485185954,0.16695657621814738,0.7787723785156282,0.2408695652173389,0.20718562874226684,0.16019921474882187,9.377128601074219,10.658425331115723,8.72873306274414,15.25408935546875,18.221437454223633,12.749957084655762,0.7634271099734483,0.09181659895529984,0.09999999999994595,0.27124468785422173,0.803069053707413,0.1683673469387397,0.1736189402478313,0.1910752177971505,0.7864450127867181,0.1716993608110708,0.19928400954630157,0.17363103389854714
sim_500kw_2m2_T02,T02,500,2,120.0,0.4261725535608418,0.2502092050209044,0.28616806237358183,0.2552601556825921,0.8546612623040796,0.13917525773194572,0.12556278139063254,0.2535155371031378,0.8216560509549382,0.14657887202975983,0.15802975885061157,0.23455212948738471,20.61039161682129,30.841381072998047,10.502851486206055,21.216510772705078,29.964902877807617,14.3704833984375,0.5993051534449338,0.18454019823787277,0.22186598268668745,0.2909326500613504,0.7272727272723062,0.19801812484117912,0.2121621621620666,0.28046889979997736,0.7099015634043371,0.19781862960680818,0.23676748582219434,0.25189797482951526
sim_500kw_2m2_T05,T05,500,2,120.0,0.15874480849092812,0.5343646408839484,0.5401481481479881,0.22412131491167095,0.6871250576831163,0.35584806318162043,0.285955293125143,0.21776232675830715,0.6894323950158332,0.3110606060605825,0.28456659619438285,0.20392428300254575,12.921939849853516,16.418312072753906,10.27430248260498,21.067174911499023,21.414823532104492,15.068404197692871,0.4942316566679768,0.176262645255907,0.20624764772295703,0.3735604263998821,0.7208121827407841,0.193960726194875,0.2024765729584329,0.31262263958350694,0.7000461467463314,0.20929448266557335,0.24894676369197666,0.2633225686552222
