scenario,start,strategy,arrived,exit_time_s,n_replans,peak_danger_truth,time_in_hazard_truth_s,travel_time_s
sim_1500kw_2m2_T05,zone_a_west,S1_baseline,True,6.00,1,0.4679,0.00,6.00
sim_1500kw_2m2_T05,zone_a_west,S2_tier1_active,True,6.00,1,0.4679,0.00,6.00
sim_1500kw_2m2_T05,zone_b_west,S1_baseline,True,3.00,1,0.0000,0.00,3.00
sim_1500kw_2m2_T05,zone_b_west,S2_tier1_active,True,3.00,1,0.0000,0.00,3.00
sim_1500kw_2m2_T05,zone_c_east,S1_baseline,True,2.00,1,0.0000,0.00,2.00
sim_1500kw_2m2_T05,zone_c_east,S2_tier1_active,True,2.00,1,0.0000,0.00,2.00
sim_1500kw_2m2_T05,zone_d_center,S1_baseline,True,5.00,1,0.0000,0.00,5.00
sim_1500kw_2m2_T05,zone_d_center,S2_tier1_active,True,5.00,1,0.0000,0.00,5.00
sim_1500kw_2m2_T05,hall_n,S1_baseline,True,8.00,1,0.8000,1.00,8.00
sim_1500kw_2m2_T05,hall_n,S2_tier1_active,True,8.00,1,0.8000,1.00,8.00
sim_1500kw_2m2_T05,hall_w,S1_baseline,True,9.00,1,0.8000,2.00,9.00
sim_1500kw_2m2_T05,hall_w,S2_tier1_active,True,9.00,1,0.8000,2.00,9.00
sim_1000kw_1m2_T03,zone_a_west,S1_baseline,True,6.00,1,0.0000,0.00,6.00
sim_1000kw_1m2_T03,zone_a_west,S2_tier1_active,True,6.00,1,0.0000,0.00,6.00
sim_1000kw_1m2_T03,zone_b_west,S1_baseline,True,3.00,1,0.0000,0.00,3.00
sim_1000kw_1m2_T03,zone_b_west,S2_tier1_active,True,3.00,1,0.0000,0.00,3.00
sim_1000kw_1m2_T03,zone_c_east,S1_baseline,True,2.00,1,0.0000,0.00,2.00
sim_1000kw_1m2_T03,zone_c_east,S2_tier1_active,True,2.00,1,0.0000,0.00,2.00
sim_1000kw_1m2_T03,zone_d_center,S1_baseline,True,5.00,1,0.0000,0.00,5.00
sim_1000kw_1m2_T03,zone_d_center,S2_tier1_active,True,5.00,1,0.0000,0.00,5.00
sim_1000kw_1m2_T03,hall_n,S1_baseline,True,8.00,1,0.0000,0.00,8.00
sim_1000kw_1m2_T03,hall_n,S2_tier1_active,True,8.00,1,0.0000,0.00,8.00
sim_1000kw_1m2_T03,hall_w,S1_baseline,True,9.00,1,0.0000,0.00,9.00
sim_1000kw_1m2_T03,hall_w,S2_tier1_active,True,9.00,1,0.0000,0.00,9.00
sim_500kw_1m2_T01,zone_a_west,S1_baseline,True,6.00,1,0.0000,0.00,6.00
sim_500kw_1m2_T01,zone_a_west,S2_tier1_active,True,6.00,1,0.0000,0.00,6.00
sim_500kw_1m2_T01,zone_b_west,S1_baseline,True,3.00,1,0.0000,0.00,3.00
sim_500kw_1m2_T01,zone_b_west,S2_tier1_active,True,3.00,1,0.0000,0.00,3.00
sim_500kw_1m2_T01,zone_c_east,S1_baseline,True,2.00,1,0.0000,0.00,2.00
sim_500kw_1m2_T01,zone_c_east,S2_tier1_active,True,2.00,1,0.0000,0.00,2.00
sim_500kw_1m2_T01,zone_d_center,S1_baseline,True,5.00,1,0.0000,0.00,5.00
sim_500kw_1m2_T01,zone_d_center,S2_tier1_active,True,5.00,1,0.0000,0.00,5.00
sim_500kw_1m2_T01,hall_n,S1_baseline,True,8.00,1,0.0000,0.00,8.00
sim_500kw_1m2_T01,hall_n,S2_tier1_active,True,8.00,1,0.0000,0.00,8.00
sim_500kw_1m2_T01,hall_w,S1_baseline,True,9.00,1,0.0000,0.00,9.00
sim_500kw_1m2_T01,hall_w,S2_tier1_active,True,9.00,1,0.0000,0.00,9.00
